,name,price
353,"POCO C51 (Power Black, 64 GB)",6999
354,"POCO C50 (Country Green, 32 GB)",5649
355,"POCO C55 (Cool Blue, 64 GB)",7749
356,"REDMI A1+ (Light Green, 32 GB)",6599
357,"REDMI 10 (Shadow Black, 64 GB)",9499
358,"POCO C55 (Power Black, 64 GB)",7749
359,"REDMI A1+ (Light Blue, 32 GB)",6599
360,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
361,"Infinix SMART 7 (Night Black, 64 GB)",7299
362,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
363,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
364,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
365,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
366,"Infinix HOT 30i (Marigold, 128 GB)",8999
367,"Infinix HOT 30i (Diamond White, 128 GB)",8999
368,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
369,"Infinix HOT 30i (Diamond White, 64 GB)",7999
370,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
371,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
372,"Infinix HOT 30i (Marigold, 64 GB)",7999
373,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
374,"POCO C50 (Royal Blue, 32 GB)",5649
375,"POCO C51 (Royal Blue, 64 GB)",6999
376,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
377,"POCO C51 (Power Black, 64 GB)",6999
378,"POCO C50 (Country Green, 32 GB)",5649
379,"POCO C55 (Cool Blue, 64 GB)",7749
380,"REDMI A1+ (Light Green, 32 GB)",6599
381,"REDMI 10 (Shadow Black, 64 GB)",9499
382,"POCO C55 (Power Black, 64 GB)",7749
383,"REDMI A1+ (Light Blue, 32 GB)",6599
384,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
385,"Infinix SMART 7 (Night Black, 64 GB)",7299
386,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
387,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
388,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
389,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
390,"Infinix HOT 30i (Marigold, 128 GB)",8999
391,"Infinix HOT 30i (Diamond White, 128 GB)",8999
392,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
393,"Infinix HOT 30i (Diamond White, 64 GB)",7999
394,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
395,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
396,"Infinix HOT 30i (Marigold, 64 GB)",7999
397,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
398,"POCO C50 (Royal Blue, 32 GB)",5649
399,"POCO C51 (Royal Blue, 64 GB)",6999
400,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
401,"POCO C51 (Power Black, 64 GB)",6999
402,"POCO C50 (Country Green, 32 GB)",5649
403,"POCO C55 (Cool Blue, 64 GB)",7749
404,"REDMI A1+ (Light Green, 32 GB)",6599
405,"REDMI 10 (Shadow Black, 64 GB)",9499
406,"POCO C55 (Power Black, 64 GB)",7749
407,"REDMI A1+ (Light Blue, 32 GB)",6599
408,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
409,"Infinix SMART 7 (Night Black, 64 GB)",7299
410,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
411,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
412,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
413,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
414,"Infinix HOT 30i (Marigold, 128 GB)",8999
415,"Infinix HOT 30i (Diamond White, 128 GB)",8999
416,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
417,"Infinix HOT 30i (Diamond White, 64 GB)",7999
418,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
419,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
420,"Infinix HOT 30i (Marigold, 64 GB)",7999
421,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
422,"POCO C50 (Royal Blue, 32 GB)",5649
423,"POCO C51 (Royal Blue, 64 GB)",6999
424,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
425,"POCO C51 (Power Black, 64 GB)",6999
426,"POCO C50 (Country Green, 32 GB)",5649
427,"POCO C55 (Cool Blue, 64 GB)",7749
428,"REDMI A1+ (Light Green, 32 GB)",6599
429,"REDMI 10 (Shadow Black, 64 GB)",9499
430,"POCO C55 (Power Black, 64 GB)",7749
431,"REDMI A1+ (Light Blue, 32 GB)",6599
432,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
433,"Infinix SMART 7 (Night Black, 64 GB)",7299
434,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
435,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
436,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
437,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
438,"Infinix HOT 30i (Marigold, 128 GB)",8999
439,"Infinix HOT 30i (Diamond White, 128 GB)",8999
440,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
441,"Infinix HOT 30i (Diamond White, 64 GB)",7999
442,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
443,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
444,"Infinix HOT 30i (Marigold, 64 GB)",7999
445,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
446,"POCO C50 (Royal Blue, 32 GB)",5649
447,"POCO C51 (Royal Blue, 64 GB)",6999
448,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
449,"POCO C51 (Power Black, 64 GB)",6999
450,"POCO C50 (Country Green, 32 GB)",5649
451,"POCO C55 (Cool Blue, 64 GB)",7749
452,"REDMI A1+ (Light Green, 32 GB)",6599
453,"REDMI 10 (Shadow Black, 64 GB)",9499
454,"POCO C55 (Power Black, 64 GB)",7749
455,"REDMI A1+ (Light Blue, 32 GB)",6599
456,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
457,"Infinix SMART 7 (Night Black, 64 GB)",7299
458,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
459,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
460,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
461,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
462,"Infinix HOT 30i (Marigold, 128 GB)",8999
463,"Infinix HOT 30i (Diamond White, 128 GB)",8999
464,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
465,"Infinix HOT 30i (Diamond White, 64 GB)",7999
466,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
467,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
468,"Infinix HOT 30i (Marigold, 64 GB)",7999
469,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
470,"POCO C50 (Royal Blue, 32 GB)",5649
