,name,price
268,"Infinix HOT 30i (Marigold, 128 GB)",8999
269,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
270,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
271,"Infinix HOT 30i (Diamond White, 128 GB)",8999
272,"Infinix HOT 30i (Diamond White, 64 GB)",7999
273,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
274,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
275,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
276,"Infinix HOT 30i (Marigold, 64 GB)",7999
277,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
278,"POCO C50 (Royal Blue, 32 GB)",5649
279,"POCO C51 (Royal Blue, 64 GB)",6999
280,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
281,"POCO C51 (Power Black, 64 GB)",6999
282,"POCO C50 (Country Green, 32 GB)",5649
283,"REDMI 10 (Shadow Black, 64 GB)",9499
284,"POCO C55 (Cool Blue, 64 GB)",7749
285,"REDMI A1+ (Light Blue, 32 GB)",6599
286,"REDMI A1+ (Light Green, 32 GB)",6599
287,"POCO C55 (Power Black, 64 GB)",7749
288,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
289,"Infinix SMART 7 (Night Black, 64 GB)",7299
290,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
291,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
292,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
293,"Infinix HOT 30i (Diamond White, 128 GB)",8999
294,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
295,"Infinix HOT 30i (Marigold, 128 GB)",8999
296,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
297,"Infinix HOT 30i (Diamond White, 64 GB)",7999
298,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
299,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
300,"Infinix HOT 30i (Marigold, 64 GB)",7999
301,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
302,"POCO C50 (Royal Blue, 32 GB)",5649
303,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
304,"POCO C51 (Royal Blue, 64 GB)",6999
305,"POCO C51 (Power Black, 64 GB)",6999
306,"POCO C50 (Country Green, 32 GB)",5649
307,"POCO C55 (Cool Blue, 64 GB)",7749
308,"REDMI 10 (Shadow Black, 64 GB)",9499
309,"REDMI A1+ (Light Green, 32 GB)",6599
310,"REDMI A1+ (Light Blue, 32 GB)",6599
311,"POCO C55 (Power Black, 64 GB)",7749
312,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
313,"Infinix SMART 7 (Night Black, 64 GB)",7299
314,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
315,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
316,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
317,"Infinix HOT 30i (Diamond White, 128 GB)",8999
318,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
319,"Infinix HOT 30i (Marigold, 128 GB)",8999
320,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
321,"Infinix HOT 30i (Diamond White, 64 GB)",7999
322,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
323,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
324,"Infinix HOT 30i (Marigold, 64 GB)",7999
325,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
326,"POCO C50 (Royal Blue, 32 GB)",5649
327,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
328,"POCO C51 (Royal Blue, 64 GB)",6999
329,"POCO C51 (Power Black, 64 GB)",6999
330,"POCO C50 (Country Green, 32 GB)",5649
331,"POCO C55 (Cool Blue, 64 GB)",7749
332,"REDMI 10 (Shadow Black, 64 GB)",9499
333,"REDMI A1+ (Light Green, 32 GB)",6599
334,"REDMI A1+ (Light Blue, 32 GB)",6599
335,"POCO C55 (Power Black, 64 GB)",7749
336,"Infinix SMART 7 (Night Black, 64 GB)",7299
337,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
338,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
339,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
340,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
341,"Infinix HOT 30i (Marigold, 128 GB)",8999
342,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
343,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
344,"Infinix HOT 30i (Diamond White, 128 GB)",8999
345,"Infinix HOT 30i (Diamond White, 64 GB)",7999
346,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
347,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
348,"Infinix HOT 30i (Marigold, 64 GB)",7999
349,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
350,"POCO C50 (Royal Blue, 32 GB)",5649
351,"POCO C51 (Royal Blue, 64 GB)",6999
352,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
353,"POCO C51 (Power Black, 64 GB)",6999
354,"POCO C50 (Country Green, 32 GB)",5649
355,"POCO C55 (Cool Blue, 64 GB)",7749
356,"REDMI 10 (Shadow Black, 64 GB)",9499
357,"REDMI A1+ (Light Blue, 32 GB)",6599
358,"REDMI A1+ (Light Green, 32 GB)",6599
359,"POCO C55 (Power Black, 64 GB)",7749
360,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
361,"Infinix SMART 7 (Night Black, 64 GB)",7299
362,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
363,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
364,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
365,"Infinix HOT 30i (Diamond White, 128 GB)",8999
366,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
367,"Infinix HOT 30i (Marigold, 128 GB)",8999
368,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
369,"Infinix HOT 30i (Diamond White, 64 GB)",7999
370,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
371,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
372,"Infinix HOT 30i (Marigold, 64 GB)",7999
373,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
374,"POCO C50 (Royal Blue, 32 GB)",5649
375,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
376,"POCO C51 (Royal Blue, 64 GB)",6999
377,"POCO C51 (Power Black, 64 GB)",6999
378,"POCO C50 (Country Green, 32 GB)",5649
379,"POCO C55 (Cool Blue, 64 GB)",7749
380,"REDMI 10 (Shadow Black, 64 GB)",9499
381,"REDMI A1+ (Light Green, 32 GB)",6599
382,"REDMI A1+ (Light Blue, 32 GB)",6599
383,"POCO C55 (Power Black, 64 GB)",7749
384,"Infinix SMART 7 (Night Black, 64 GB)",7299
385,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
386,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
387,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
388,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
389,"Infinix HOT 30i (Marigold, 128 GB)",8999
390,"Infinix HOT 30i (Diamond White, 64 GB)",7999
391,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
